site,source,isbn,title,authors
eksmo,https://eksmo.ru/book/vy-khoteli-voyny-vy-ee-poluchite-ITD86255/,978-5-699-49934-2,Вы хотели войны? Вы ее получите!,Дышев С.М.
eksmo,https://eksmo.ru/book/otvetnyy-temperament-ITD86253/,978-5-699-50187-8,Ответный темперамент,Сотникова Т.А.
eksmo,https://eksmo.ru/book/lyubovnyy-treugolnik-ITD86257/,978-5-699-49097-4,Любовный треугольник,Машкова Д.
eksmo,https://eksmo.ru/book/mashkino-schaste-ITD86260/,978-5-699-50220-2,Машкино счастье,Метлицкая М.
labirint,https://www.labirint.ru/books/50029/,978-5-7793-0368-2,Боги древних славян: Виктор Калашников,Калашников Виктор Иванович
eksmo,https://eksmo.ru/book/originalnye-ukrasheniya-na-osnove-provoloki-s-pamyatyu-ITD86265/,978-5-699-50368-1,Оригинальные украшения на основе проволоки с памятью,Шанаева О.
labirint,https://www.labirint.ru/books/50080/,978-5-377-03543-5,Литература. 7 класс. Все сочинения к учебнику В. Я. Коровиной: Наталья Миронова,Миронова Наталья Александровна
labirint,https://www.labirint.ru/books/50058/,978-5-3590-1079-5,История России для детей и взрослых: Владимир Соловьев,Соловьев Владимир Михайлович
eksmo,https://eksmo.ru/book/svet-v-okoshke-ITD86261/,978-5-699-50285-1,Свет в окошке,Тронина Т.М.
eksmo,https://eksmo.ru/book/plodovyy-sad-ot-a-do-ya-ITD86263/,978-5-699-49067-7,Плодовый сад от А до Я,Халилов Ф.Х.
igra_slov,https://igraslov.store/product/shikera-s-vybor-natury-gorodets-klap/,978-5-906827-47-0,Шикера С. Выбор натуры,Сергей Шикера
igra_slov,https://igraslov.store/product/kolobrodov-a-ob-solzhenitsyna-gorodets-klap/,978-5-907220-38-6,Колобродов А. Об Солженицына,Алексей Колобродов
eksmo,https://eksmo.ru/book/ikh-poslal-na-smert-zhukov-gibel-armii-generala-efremova-ITD86259/,978-5-699-49940-3,Их послал на смерть Жуков? Гибель армии генерала Ефремова,Мельников В.М.
eksmo,https://eksmo.ru/book/36-i-6-pravil-zdorovykh-glaz-ITD86267/,978-5-699-49798-0,36 и 6 правил здоровых глаз,Лазук А.В.
igra_slov,https://igraslov.store/product/zhoffre-r-chto-takoe-lyubov-i-drugie-mikronovelly-gorodets-myagk/,978-5-907085-97-8,Жоффре Р. Что такое любовь и другие микроновеллы,Режис Жоффре
igra_slov,https://igraslov.store/product/dostoevskij-f-dnevnik-pisatelya-1876-ast-eksklass-myagk/,978-5-17-148195-7,Достоевский Ф. Дневник писателя (1876),Федор Достоевский
eksmo,https://eksmo.ru/book/sovremennaya-entsiklopediya-bani-ITD86275/,978-5-699-50152-6,Современная энциклопедия бани,Доминов Э.
labirint,https://www.labirint.ru/books/50107/,978-5-377-00381-6,Литература. 8 класс. Все сочинения к учебнику в 2-х частях В.Я. Коровиной и др. ФГОС: Елена Зуева,Зуева Елена Викторовна
eksmo,https://eksmo.ru/book/entsiklopediya-luchshikh-sortov-plodovykh-derevev-ITD86269/,978-5-699-49275-6,Энциклопедия лучших сортов плодовых деревьев,Сусов В.И.
labirint,https://www.labirint.ru/books/50122/,978-5-408-00263-4,"Игровой модульный курс по ПДД, или Школьник вышел на улицу. 1-4 классы. ФГОС: Валентина Ковалько",Ковалько Валентина Ивановна
