site,source,isbn,title,authors
labirint,https://www.labirint.ru/books/50107/,5-472-00325-3,Литература. 8 класс. Все сочинения к учебнику в 2-х частях В.Я. Коровиной и др. ФГОС: Елена Зуева,Зуева Елена Викторовна
labirint,https://www.labirint.ru/books/50080/,5-472-00322-9,Литература. 7 класс. Все сочинения к учебнику В. Я. Коровиной: Наталья Миронова,Миронова Наталья Александровна
labirint,https://www.labirint.ru/books/50058/,5-7793-0323-1,История России для детей и взрослых: Владимир Соловьев,Соловьев Владимир Михайлович
labirint,https://www.labirint.ru/books/50122/,5-94665-198-6,"Игровой модульный курс по ПДД, или Школьник вышел на улицу. 1-4 классы. ФГОС: Валентина Ковалько",Ковалько Валентина Ивановна
labirint,https://www.labirint.ru/books/50029/,5-7793-0368-1,Боги древних славян: Виктор Калашников,Калашников Виктор Иванович
labirint,https://www.labirint.ru/books/50448/,5-901582-20-9,Турецкий горошек: Д. Нельсон,Нельсон Д. Л.
labirint,https://www.labirint.ru/books/50451/,5-901582-28-4,Взрослая жизнь для начинающих: Виктория Рутледж,Рутледж Виктория
labirint,https://www.labirint.ru/books/50759/,978-5-9561-0287-9,Рембрандт (1606-1669). Раскрывающаяся тайна формы: Михаил Бокемюль,Бокемюль Михаил
labirint,https://www.labirint.ru/books/50454/,5-901582-29-2,Девочка по вызову: Джаннетт Энджелл,Энджелл Джаннетт
labirint,https://www.labirint.ru/books/50444/,5-94278-594-5,Живодер: Алексей Сейл,Сейл Алексей
labirint,https://www.labirint.ru/books/50808/,5-89939-026-3,"Непоседливый ребенок, или все о гиперактивных детях: Брязгунов, Касатикова","Брязгунов Игорь Павлович, Касатикова Елена Викторовна"
labirint,https://www.labirint.ru/books/50837/,5-7516-0455-5,"Двенадцать стульев: Ильф, Петров","Ильф Илья Арнольдович, Петров Евгений Петрович"
labirint,https://www.labirint.ru/books/50936/,5-691-01327-0,Биология. Мир человека. Задачи. Дополнительные материалы. 8 класс: Евгений Демьянков,Демьянков Евгений Николаевич
labirint,https://www.labirint.ru/books/51361/,5-86866-262-8,"Английский язык. 7 класс. Учебник. ФГОС: Деревянко, Жаворонкова, Колоскова","Деревянко Надежда Николаевна, Жаворонкова Светлана Владимировна, Колоскова Т. Р. + еще 3"
labirint,https://www.labirint.ru/books/50956/,5-691-01274-6,Биология 6 класс. Мир растений: Задачи. Дополнительные материалы.: Евгений Демьянков,Демьянков Евгений
labirint,https://www.labirint.ru/books/51366/,978-5-86866-265-2,Кто боится английской грамматики? Английский язык. Учебное пособие: Сергей Цебаковский,Цебаковский Сергей Яковлевич
labirint,https://www.labirint.ru/books/51443/,5-88503-231-9,Как понять ребенка: Андрей Валявский,Валявский Андрей Степанович
labirint,https://www.labirint.ru/books/51669/,5-88075-035-3,Учебник китайской медицины для западных врачей: Клаус Шнорренбергер,Шнорренбергер Клаус К.
labirint,https://www.labirint.ru/books/51679/,5-89395-191-3,Интегральная Йога: Ауробиндо Шри,Шри Ауробиндо
labirint,https://www.labirint.ru/books/51611/,4602607001488,"Рабочая тетрадь к ""Азбуке"". В 4-х частях: Безруких, Филиппова","Безруких Марьяна Михайловна, Филиппова Татьяна Андреевна"
labirint,https://www.labirint.ru/books/51700/,5-901582-19-5,"Дядя Джимми, индейцы и я: Артур Беккер",Беккер Артур
labirint,https://www.labirint.ru/books/51871/,5-89608-037-9,Аккордеон в джазе. Популярные джазовые импровизации для аккордеона. Учебное пособие: Р. Бажилин,Бажилин Р. Н.
labirint,https://www.labirint.ru/books/51882/,5-94388-053-4,Антология русского шансона. Выпуск 1. Споем жиган!,"ИД Катанского, 2003"
labirint,https://www.labirint.ru/books/51769/,5-691-00934-6,"Практикум к курсу английского языка под редакцией В. Д. Аракина. 4 курс: Новикова, Петрова","Новикова Ирина Александровна, Петрова Наталья Юрьевна"
labirint,https://www.labirint.ru/books/51876/,5-94388-059-3,Антология зарубежного шлягера. 1959-1961 гг. ХХ век - незабываемые мелодии: А. Клешев,Клешев А. С.
labirint,https://www.labirint.ru/books/51900/,978-5-94388-021-6,Хрестоматия гитариста. Вторая тетрадь. Учебное пособие: Геннадий Фетисов,Фетисов Геннадий Алексеевич
labirint,https://www.labirint.ru/books/51897/,5-94388-025-9,Избранные произведения для гитары. Тетрадь №3: Геннадий Фетисов,Фетисов Геннадий Алексеевич
labirint,https://www.labirint.ru/books/51884/,5-94388-020-8,Волшебный мир шести струн. Избранные произведения для гитары. Тетрадь №1,"ИД Катанского, 2004"
labirint,https://www.labirint.ru/books/51902/,5-94388-009-7,Золотой репертуар для младших классов детских музыкальных школ. Тетрадь вторая,"ИД Катанского, 2022"
